SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/rocm	DS4_ROCM_GLM_DISABLE_STREAMING_SEED_BEFORE_PREFILL	Pure presence flag: any defined value, including empty or "0", disables. Unset seeds before prefill whenever SSD streaming is active. On ROCm builds DS4_METAL_GLM_DISABLE_STREAMING_SEED_BEFORE_PREFILL is an accepted fallback alias.	Skip the pre-prefill hotlist seed of the streaming expert cache in both one-shot GLM generation and session setup.	ds4.c:51334
runtime/rocm	DS4_ROCM_GLM_DISABLE_STREAMING_TOKEN_PREFILL	Pure presence flag: any defined value, including empty or "0", disables. Unset leaves the token-major path eligible only for SSD streaming, non-quality mode, a nonempty batch fitting full attention, and n_tokens <= the configured nonzero maximum. DS4_METAL_GLM_DISABLE_STREAMING_TOKEN_PREFILL and generic DS4_GLM_DISABLE_STREAMING_TOKEN_PREFILL are also accepted presence aliases.	Roll back GLM SSD-streaming token-major prefill to the normal prefill implementation.	ds4.c:49964
runtime/rocm	DS4_ROCM_GLM_GROUPED_QK_LOW	sampled once; unset: enabled; present empty or exact 0: disabled; every other present value: enabled	Selects the grouped shared-input ROCm kernel for eligible multi-token GLM qk-lowrank projection; disabling uses the per-head/per-token projection kernel.	rocm/ds4_rocm_runtime.cuh:4800
runtime/rocm	DS4_ROCM_GLM_GROUPED_VALUE_PROJECT	sampled once; unset: enabled; present empty or exact 0: disabled; every other present value: enabled	Selects the grouped shared-input ROCm kernel for eligible multi-token GLM value projection; disabling uses the non-grouped batch projection path.	rocm/ds4_rocm_runtime.cuh:4791
runtime/rocm	DS4_ROCM_GLM_LAYER_SLICE_TOKEN_DECODE	Opt-in truthy parser; unset, empty, "0", false, off, or no (case-insensitive words) are false, every other nonempty value is true. Default off and compiled only for ROCm.	Allow a one-token, pos>0 GLM layer-slice with inter-node input/output hidden buffers to use the optimized resident token graph; without it only the no-hidden-buffer case takes that shortcut.	ds4.c:43834
runtime/rocm	DS4_ROCM_GLM_SELECTED_ATTN_GEMM	Enabled by default when unset. Exact "0" or an empty value disables; every other nonempty value enables (including false/off/no). Eligibility still requires !causal_range && has_selected; failure/ineligibility falls through to the scalar attention kernel.	Gather per-token selected cache rows into FP16 matrices and use strided-batched BLAS GEMMs for GLM selected indexed prefill; =0 forces the scalar path.	rocm/ds4_rocm_glm.cuh:3239
runtime/rocm	DS4_ROCM_GLM_SELECTED_ATTN_HEAD_TILE	Unsigned integer read and cached once; valid values are exactly 1,2,4,8,16,32,64. Unset/empty defaults to 16. A nonnumeric, partially parsed, overflowed, or unsupported value prints a warning and uses 16; the effective tile is min(requested,n_head).	Set how many attention heads each selected-attention GEMM workspace tile processes.	rocm/ds4_rocm_glm.cuh:2509
runtime/rocm	DS4_ROCM_GLM_SELECTED_ATTN_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm glm selected attn profile.	rocm/ds4_rocm_glm.cuh:2534
runtime/rocm	DS4_ROCM_GLM_STREAMING_ASYNC_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm glm streaming async profile.	ds4.c:44622
runtime/rocm	DS4_ROCM_GLM_STREAMING_DECODE_FULL_LAYER_MAP	Pure presence flag: any defined value, including empty or "0", forces full mapping. Unset uses automatic mapping: resident layers map fully, eligible expert-cache layers use decode-only/expert mapping, otherwise full mapping. DS4_METAL_GLM_STREAMING_DECODE_FULL_LAYER_MAP and generic DS4_GLM_STREAMING_DECODE_FULL_LAYER_MAP are also accepted presence aliases.	Force every GLM SSD-streaming decode layer through full-layer mapping, bypassing the selected-expert/decode mapping optimization.	ds4.c:42876
runtime/rocm	DS4_ROCM_GLM_STREAMING_DECODE_SYNC_EACH_LAYER	ROCm-only primary value; nonempty takes priority over DS4_METAL_GLM_STREAMING_DECODE_SYNC_EACH_LAYER and the generic DS4_GLM_STREAMING_DECODE_SYNC_EACH_LAYER fallback; empty acts as unset; truthy unless exact 0 or case-insensitive false/off/no; with all aliases unset: false	For non-static GLM SSD decode on ROCm, opts into a full command/device synchronization after token mapping and every layer; default keeps ordered work queued across layer mappings, and static-map decode bypasses it.	ds4.c:50040
runtime/rocm	DS4_ROCM_GLM_STREAMING_GROW_CACHE_AFTER_PREFILL	Enabled by default when absent. If defined, only a truthy nonempty value enables; empty, "0", false, off, or no disable. Growth also requires SSD streaming plus nonzero base cache and prefill-headroom budgets, and occurs only if the recomputed expert count exceeds the current count.	After successful ROCm GLM prefill, add the released prefill headroom to the dynamic streaming expert-cache byte budget.	ds4.c:51372
runtime/rocm	DS4_ROCM_GLM_STREAMING_PREFILL_FULL_LAYER	presence force-on; any presence including empty or 0 enables; unset falls back to the Metal alias and then the automatic token threshold (1024 by default on ROCm); DS4_ROCM_DISABLE_GLM_STREAMING_PREFILL_FULL_LAYER dominates	Forces GLM SSD prefill into full-layer mapping/cache mode even below the automatic large-batch threshold.	ds4.c:42953
runtime/rocm	DS4_ROCM_GLM_STREAMING_PREFILL_FULL_LAYER_MIN_TOKENS	Positive uint32 threshold parsed with strtoul; ROCm default is 1024. Missing/empty, no leading number, errno/overflow, zero, or >UINT32_MAX returns 1024. The parser does not require end-of-string, so trailing junk after a valid leading number is accepted. A nonempty ROCm value takes precedence; otherwise DS4_METAL_GLM_STREAMING_PREFILL_FULL_LAYER_MIN_TOKENS is a fallback alias.	Set the automatic token-count crossover for ROCm GLM SSD prefill to load/use full resident expert layers when the layer supports that mode.	ds4.c:42953
runtime/rocm	DS4_ROCM_GLM_STREAMING_PREFILL_SYNC_EACH_LAYER	ROCm-only primary value; nonempty takes priority over DS4_METAL_GLM_STREAMING_PREFILL_SYNC_EACH_LAYER and the generic DS4_GLM_STREAMING_PREFILL_SYNC_EACH_LAYER fallback; empty acts as unset; truthy unless exact 0 or case-insensitive false/off/no; with all aliases unset: false for compact prefill; full-layer prefill always returns true	For compact GLM SSD prefill on ROCm, opts into a full command/device synchronization at every layer boundary; default preserves queued work across mappings, while full-layer cache mode always synchronizes.	ds4.c:42656
runtime/rocm	DS4_ROCM_GLM_STREAMING_TOKEN_PREFILL_MAX	primary nonempty value, then the Metal alias, then generic DS4_GLM_STREAMING_TOKEN_PREFILL_MAX; parsed by strtoul without requiring full-string consumption; 0 is valid and disables; no digits, ERANGE, or > UINT32_MAX uses the ROCm default 0	Sets the largest non-quality GLM SSD-prefill chunk eligible for token-major/decode-style execution; ROCm defaults to canonical indexed batch prefill (0 disables token-major mode).	ds4.c:49943
runtime/rocm	DS4_ROCM_GLM_VALUE_PROJECT_WAVE_DECODE	Enabled by default when unset. Exact "0" or empty disables; every other nonempty value enables (including false/off/no). It applies only when n_tokens==1; =0 or multi-token input uses the generic per-head batch kernel.	Select the validated wave-per-output-row ROCm Q8 GLM value-projection kernel for one-token decode; =0 is the generic-kernel rollback.	rocm/ds4_rocm_glm.cuh:2019
runtime/rocm	DS4_ROCM_GRAPH_DUMP_LAYER	unsigned layer or all; unset=all layers	Filter ROCm graph dumps by layer.	ds4.c:16877
runtime/rocm	DS4_ROCM_GRAPH_DUMP_NAME	nonempty substring filter; unset=all tensor names	Filter ROCm graph dumps by tensor/stage name.	ds4.c:16873
runtime/rocm	DS4_ROCM_GRAPH_DUMP_NONINVASIVE	truthy value under the shared parser; unset lets dumping select conservative kernels	Keep production ROCm kernel selection while graph dumping.	rocm/ds4_rocm_runtime.cuh:4822
runtime/rocm	DS4_ROCM_GRAPH_DUMP_POS	unsigned token position; unset=all positions	Filter ROCm graph dumps by position.	ds4.c:16884
runtime/rocm	DS4_ROCM_GRAPH_DUMP_PREFIX	nonempty output path prefix; unset=off	Enable ROCm intermediate graph/tensor dumps.	ds4_cuda.cu:397
runtime/rocm	DS4_ROCM_GRAPH_DUMP_TRACE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Emit trace diagnostics for rocm graph dump trace.	ds4.c:16914
runtime/rocm	DS4_ROCM_GRAPH_OUTPUT_ROW	Nonempty string with a leading strtoul-parsable unsigned value < n_tokens selects that zero-based row. Default, empty, unparsable, or out-of-range selects n_tokens-1. Trailing characters are accepted because full consumption/errno are not checked. A nonempty ROCm value takes precedence; otherwise DS4_METAL_GRAPH_OUTPUT_ROW is a fallback alias.	Choose which prefill hidden-state row is sent through the output head to produce logits, primarily for graph/correctness diagnostics.	ds4.c:35860
runtime/rocm	DS4_ROCM_GRAPH_PREFILL_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm graph prefill profile.	ds4.c:32053
runtime/rocm	DS4_ROCM_GRAPH_PREFILL_SPLIT_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm graph prefill split profile.	ds4.c:35783
runtime/rocm	DS4_ROCM_GRAPH_TOKEN_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm graph token profile.	ds4.c:31737
runtime/rocm	DS4_ROCM_INDEXER_STAGE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm indexer stage profile.	ds4.c:29280
runtime/rocm	DS4_ROCM_LAYER_STAGE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm layer stage profile.	ds4.c:29119
runtime/rocm	DS4_ROCM_LAYER_STAGE_PROFILE_LAYER	layer filter subordinate to DS4_ROCM_LAYER_STAGE_PROFILE; unset or whitespace-only: all layers allowed by the parent flag; otherwise the whitespace-trimmed value must be a complete base-10 strtoul result <= UINT32_MAX equal to the current layer; invalid values match none	Restricts the ROCm layer/prefill stage profiler to one layer; it does not enable profiling by itself.	ds4.c:29120
runtime/rocm	DS4_ROCM_MOE_DECODE_DOWN_RPB	sampled once; nonempty value is parsed by strtoul (a numeric prefix is sufficient), cast to uint32_t, and accepted only if 1/2/4/8/16/32; unset/empty/invalid inherits DS4_ROCM_MOE_DECODE_RPB, with defaults quality=8, non-quality SSD=2, resident=1	Sets output rows (warps) per block for ROCm Q2_K routed-MoE decode down-projection kernels; threads per block are value * 32.	rocm/ds4_rocm_runtime.cuh:4842
runtime/rocm	DS4_ROCM_MOE_DECODE_GATE_RPB	sampled once; nonempty value is parsed by strtoul (a numeric prefix is sufficient), cast to uint32_t, and accepted only if 1/2/4/8/16/32; unset/empty/invalid defaults to 1 in non-quality SSD mode when DS4_ROCM_MOE_DECODE_RPB is unset/empty, otherwise inherits the resolved base RPB	Sets output rows (warps) per block for ROCm Q2_K routed-MoE decode gate/up kernels; threads per block are value * 32.	rocm/ds4_rocm_runtime.cuh:4836
runtime/rocm	DS4_ROCM_MOE_DECODE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm moe decode profile.	rocm/ds4_rocm_moe_launch.cuh:82
runtime/rocm	DS4_ROCM_MOE_DECODE_RPB	sampled once; nonempty value is parsed by strtoul (a numeric prefix is sufficient), cast to uint32_t, and accepted only if 1/2/4/8/16/32; unset/empty/invalid default: quality=8, non-quality SSD=2, resident=1	Sets the base ROCm Q2_K decode-MoE rows-per-block value inherited by gate/up and down controls, except the automatic SSD gate specialization defaults to 1 when this variable is unset/empty.	rocm/ds4_rocm_runtime.cuh:4832
runtime/rocm	DS4_ROCM_MOE_PATH_DEBUG	presence diagnostic; unset=off; any defined value including empty or 0 enables it	Print ROCm routed-MoE path selection, sorted-tile scratch state, and MXFP4 gate/up launch diagnostics to stderr.	rocm/ds4_rocm_moe_launch.cuh:831
runtime/rocm	DS4_ROCM_MOE_WRITE_CLAMPED_ACT	Pure presence sentinel: any defined value, including empty or "0", is active; DS4_METAL_MOE_WRITE_CLAMPED_ACT is an accepted fallback alias. On ROCm the variable is only consumed as a path-admission veto: it disables selected-expert cache/address-table, selected-slot and CPU-router/fused optimized paths. No ROCm call site parses a clamp amount or directly enables a write-clamped kernel.	Force shared graph selection away from optimizations incompatible with the clamped-intermediate MoE diagnostic; on ROCm this is a compatibility/rollback gate, not itself a clamped-write implementation.	ds4.c:18541
runtime/rocm	DS4_ROCM_MXFP4_DOWN_RGROUP	nonempty value is parsed by strtol and a numeric prefix is sufficient; integers 1..8 are accepted; unset, empty, invalid, or out-of-range values use 1	Set how many 32-row output blocks each ROCm MXFP4 tiled down-projection block computes, reducing the first launch-grid dimension as the value increases.	rocm/ds4_rocm_moe_launch.cuh:801
runtime/rocm	DS4_ROCM_Q4_GROUPED_ATTN_A_STATS	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Print counters for rocm q4 grouped attn a stats.	rocm/ds4_rocm_q4.cuh:480
runtime/rocm	DS4_ROCM_Q4_PREFILL_TILE8_STATS	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Print counters for rocm q4 prefill tile8 stats.	rocm/ds4_rocm_q4.cuh:514
runtime/rocm	DS4_ROCM_Q8_DECODE_SHAREDX_64K	sampled once; unset: enabled; present empty or exact 0: disabled; every other present value: enabled; effective only for one-token non-prequant Q8_0 matmul with 8192 < in_dim <= 16384	Allows the ROCm shared-input Q8 decode kernel to use up to 64 KiB dynamic LDS for wide inputs; an unsupported/failed LDS launch automatically falls back to the regular kernel.	rocm/ds4_rocm_runtime.cuh:4805
runtime/rocm	DS4_ROCM_Q_STAGE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm q stage profile.	ds4.c:29284
runtime/rocm	DS4_ROCM_REQUIRE_Q4_GROUPED_ATTN_A	presence fail-closed assertion; also requests candidate unless disabled	Require rocm require q4 grouped attn a and fail instead of silently falling back.	rocm/ds4_rocm_q4.cuh:702
runtime/rocm	DS4_ROCM_REQUIRE_Q4_PREFILL_TILE8	presence fail-closed assertion for eligible TILE8 calls	Require rocm require q4 prefill tile8 and fail instead of silently falling back.	rocm/ds4_rocm_q4.cuh:452
runtime/rocm	DS4_ROCM_STREAMING_DECODE_PREFILL_MAX	primary nonempty value over the Metal alias; parsed by strtol when it has a numeric prefix (trailing text is accepted); <= 0 disables, values > UINT32_MAX clamp, no numeric prefix uses automatic default: 64 for Flash with uniform Q4_K/MXFP4 experts, 18 for other Pro/Flash, otherwise 0; the disable flag dominates	Sets the largest short, non-quality SSD-streaming prefill batch routed through the decode-style path instead of canonical layer-major prefill.	ds4.c:31976
runtime/rocm	DS4_ROCM_STREAMING_EXPERT_AUTO_PRELOAD_CAP	primary nonempty value over the Metal alias; strict full-string strtoul; valid values > UINT32_MAX clamp, invalid uses 4096, and 0 means no cap (not disabled); when CLI preload is auto/0, unset defaults to cap 4096 except ROCm GLM52, where absent/empty disables automatic preload entirely	Caps the number of hot experts synchronously seeded into the SSD-streaming expert cache in automatic preload mode; an explicit CLI preload count bypasses this cap, and setting this variable opts ROCm GLM52 back into auto preload.	ds4.c:21469
runtime/rocm	DS4_ROCM_STREAMING_EXPERT_CACHE_VERBOSE	presence flag; unset=off	Print verbose ROCm streaming expert-cache seed/load diagnostics.	rocm/ds4_rocm_runtime.cuh:2904
runtime/rocm	DS4_ROCM_STREAMING_EXPERT_HOTLIST	Nonempty filesystem path; a nonempty ROCm value takes precedence, otherwise DS4_METAL_STREAMING_EXPERT_HOTLIST is a fallback. The file contains whitespace-separated layer expert hits rows; blank/comment lines are ignored, zero-hit rows skipped, malformed/open/read errors fail seeding. Unset/empty uses the built-in Pro/Flash/GLM52 hotlist. Effective only when non-cold SSD hotlist seeding is enabled and cache/preload budget is nonzero.	Select a custom ranked expert hotlist used to preseed the streaming resident expert cache before decode.	ds4.c:21509
runtime/rocm	DS4_ROCM_STREAMING_EXPERT_HOTLIST_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming expert hotlist profile.	ds4.c:32259
runtime/rocm	DS4_ROCM_STREAMING_MAP_TRACE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Emit trace diagnostics for rocm streaming map trace.	ds4.c:42904
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_BATCH_SELECTED_ADDR_MAX	primary nonempty value over the Metal alias; strtol accepts a numeric prefix; <= 0 returns 0, > UINT32_MAX clamps, invalid uses ROCm default UINT32_MAX for Pro/Flash/GLM52 and 0 otherwise	Sets the inclusive upper token-count bound for automatically using selected-expert address-table kernels during eligible non-quality SSD batch prefill; 0 disables automatic selection.	ds4.c:18486
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_BATCH_SELECTED_ADDR_MIN	primary nonempty value over the Metal alias; strtol accepts a numeric prefix; <= 0 returns 0, > UINT32_MAX clamps, invalid uses ROCm default 2 for Pro/Flash/GLM52 and 0 otherwise	Sets the inclusive lower token-count bound for automatically using selected-expert address-table kernels during eligible non-quality SSD batch prefill (the path independently requires more than one token).	ds4.c:18509
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_CACHE_SEED_K	primary nonempty value over the Metal alias; strict full-string strtoul; unset/empty/invalid: 1; 0 disables; positive values clamp to 64; ignored unless SSD streaming and DS4_ROCM_ENABLE_STREAMING_PREFILL_CACHE_SEED (or Metal alias) is present	Chooses how many trailing token router selections per layer are captured from prefill and used to seed the streaming expert cache afterward.	ds4.c:21282
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_CACHE_SEED_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill cache seed profile.	ds4.c:32168
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_MADVISE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill layer madvise profile.	ds4.c:19624
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PAGEIN_NO_OVERLAP	Pure presence flag: any defined value, including empty or "0", disables overlap. Default overlap is enabled only if this, PREPARE_NO_OVERLAP, DISABLE_*_PREPARE_OVERLAP, and DISABLE_*_PAGEIN_OVERLAP are all absent. The corresponding DS4_METAL name is an accepted fallback alias. In current code PAGEIN_NO_OVERLAP and PREPARE_NO_OVERLAP are exact synonyms.	Serialize SSD-streaming prefill layer page-in/preparation instead of overlapping preparation of upcoming layers.	ds4.c:19331
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PAGEIN_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill layer pagein profile.	ds4.c:19620
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PAGEIN_THREADS	legacy fallback read only when DS4_ROCM_STREAMING_PREFILL_LAYER_PREPARE_THREADS and its Metal alias are absent/empty; strict full-string strtoul; unset/empty across both names: 8; invalid or 0: 1; values > 16 clamp to 16	Sets worker count for full-layer SSD-prefill preparation (page touch, pread, readahead, or madvise) when the canonical PREPARE_THREADS control is not set.	ds4.c:19289
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PREAD_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill layer pread profile.	ds4.c:19622
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PREPARE_AHEAD	primary nonempty value over the Metal alias; strict full-string strtoul; unset/empty: 1; invalid or 0: 1; values > 4 clamp to 4	Sets how many future layer-preparation jobs may be queued concurrently while SSD-prefill preparation overlap is enabled.	ds4.c:19343
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PREPARE_NO_OVERLAP	Pure presence flag: any defined value, including empty or "0", disables overlap. Default overlap is enabled only if this, PAGEIN_NO_OVERLAP, DISABLE_*_PREPARE_OVERLAP, and DISABLE_*_PAGEIN_OVERLAP are all absent. The corresponding DS4_METAL name is an accepted fallback alias. In current code PREPARE_NO_OVERLAP and PAGEIN_NO_OVERLAP are exact synonyms.	Serialize SSD-streaming prefill layer preparation/page-in instead of overlapping preparation of upcoming layers.	ds4.c:19329
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_PREPARE_THREADS	primary nonempty value over the Metal alias; strict full-string strtoul; unset/empty falls back to LAYER_PAGEIN_THREADS, then default 8; invalid or 0: 1; values > 16 clamp to 16	Sets worker count used to split full-layer SSD-prefill page-touch, pread, readahead, or madvise preparation ranges.	ds4.c:19285
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_LAYER_READAHEAD_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill layer readahead profile.	ds4.c:19626
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_MADVISE_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill selected madvise profile.	ds4.c:19370
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_MADVISE_THREADS	legacy fallback read only for selected-expert madvise preparation when DS4_ROCM_STREAMING_PREFILL_SELECTED_PREPARE_THREADS and its Metal alias are absent/empty; strict full-string strtoul; if all selected controls are unset it inherits layer preparation threads (default 8); invalid or 0: 1; values > 16 clamp to 16	Sets worker count for selected-expert madvise preparation under its legacy name; non-madvise selected page-in always uses one worker.	ds4.c:19307
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_PAGEIN_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill selected pagein profile.	ds4.c:19368
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_PREPARE_GAP	primary nonempty value over the Metal alias; strict full-string strtoul; unset/empty/invalid: 0; values > 8 clamp to 8	For selected-expert madvise preparation, merges selected expert runs separated by at most this many unselected expert IDs, trading broader hints for fewer ranges.	ds4.c:19319
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_PREPARE_THREADS	primary nonempty value over the Metal alias; strict full-string strtoul; for selected-expert madvise, unset/empty falls back to SELECTED_MADVISE_THREADS then layer preparation threads (default 8); invalid or 0: 1; values > 16 clamp to 16; non-madvise selected page-in ignores it and uses 1	Sets worker count for selected-expert madvise preparation using the canonical control name.	ds4.c:19303
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill selected profile.	ds4.c:18920
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_READAHEAD_GAP	primary nonempty value over the Metal alias; strict full-string strtoul; unset/empty/invalid: 0; values > 8 clamp to 8	For selected-expert file readahead, merges selected expert runs separated by at most this many unselected expert IDs, reducing readahead calls at the cost of hinting extra weights.	ds4.c:19992
runtime/rocm	DS4_ROCM_STREAMING_PREFILL_SELECTED_READAHEAD_PROFILE	presence/nonempty diagnostic; unset=off (path-valued DUMP names are noted by purpose)	Collect timing/profile diagnostics for rocm streaming prefill selected readahead profile.	ds4.c:20077
runtime/rocm	DS4_ROCM_STREAM_CACHE_LAYER_STATS	presence flag; unset=off	Collect per-layer ROCm streaming cache statistics; also enables aggregate stats.	rocm/ds4_rocm_runtime.cuh:390
runtime/rocm	DS4_ROCM_STREAM_CACHE_STATS	presence flag; unset=off unless layer stats are enabled	Collect aggregate ROCm streaming cache statistics.	rocm/ds4_rocm_runtime.cuh:398
runtime/rocm	DS4_ROCM_STREAM_EVICT_PAST_LAYERS_FIRST	nonempty and not 0 enables; unset/empty/0=off	Prefer evicting cached experts from already-processed layers.	rocm/ds4_rocm_runtime.cuh:406
runtime/rocm	DS4_ROCM_STREAM_FREE_RESERVE_GB	integer 2..64 GiB; default 16	Reserve unified-memory headroom while growing the ROCm expert cache.	rocm/ds4_rocm_runtime.cuh:1526
runtime/rocm	DS4_ROCM_STREAM_MODEL_CACHE_GB	positive GiB integer; unset/invalid uses automatic streaming model cache limit	Cap cached streaming model spans.	rocm/ds4_rocm_runtime.cuh:5464
runtime/rocm	DS4_ROCM_STREAM_NO_DIRECT	nonempty and not 0 disables direct reads; unset/empty/0 keeps direct I/O eligible	Force the buffered ROCm SSD-streaming read path.	rocm/ds4_rocm_runtime.cuh:1932
runtime/rocm	DS4_ROCM_STREAM_Q8_F16_CACHE_GB	non-negative GiB integer; unset/invalid uses automatic Q8-F16 cache limit	Cap converted Q8-to-F16 weights in SSD mode.	rocm/ds4_rocm_runtime.cuh:4859
runtime/rocm	DS4_ROCM_STREAM_READ_PROFILE	nonempty and not 0 enables; unset/empty/0=off	Print ROCm SSD-streaming read/locality statistics at exit.	rocm/ds4_rocm_runtime.cuh:1918
runtime/rocm	DS4_ROCM_STREAM_READ_WORKERS	integer; default DS4_ROCM_STREAM_READ_DEFAULT_WORKERS; 0 coerces to 1; capped at compile-time max	Set parallel ROCm SSD read/upload workers.	rocm/ds4_rocm_runtime.cuh:2077
runtime/server	DS4_SERVER_BATCH_LOG	Pure presence flag read once when the decode worker starts; default off. Any defined value, including empty or "0", logs one record per coalesced decode batch with count, elapsed milliseconds and ok/error status.	Observe server-side decode coalescing size, latency and result without changing batching behavior.	ds4_server.c:11090
runtime/server	DS4_SERVER_DECODE_COALESCE_US	integer 0..100000 microseconds; default 2000; 0 disables wait	Control server micro-batch coalescing delay.	ds4_server.c:11069
runtime/ssd	DS4_SSD_AUTO_CACHE_PCT	integer 50..95; default 80	Choose the RAM percentage used by automatic SSD expert-cache planning.	ds4_ssd.c:81
runtime/test-hook	DS4_TEST_METAL_EXACTN_ORACLE	presence flag compiled only with DS4_TEST_HOOKS; unset is off; any defined value enables	Force allocation of the Metal exact-N verifier/oracle workspace in test builds.	ds4.c:62259
runtime/tp	DS4_TP_ABLATE	comma/list string matched for hcpre,router,kv,compidx; unset=no ablation; must match on both ranks	Skip named TP encode chains for timing; output is semantically wrong.	ds4.c:22535
runtime/tp	DS4_TP_EVENT_GATES	presence flag; unset uses lower-latency slab flag gates when available	Fall back to Metal shared-event arrival gates.	ds4_metal.m:10768
runtime/tp	DS4_TP_GATE_PROFILE	presence diagnostic flag; unset=off	Collect timing/profile diagnostics for tp gate profile.	ds4_metal.m:10662
runtime/tp	DS4_TP_GATE_TRACE	presence diagnostic flag; unset=off	Emit trace diagnostics for tp gate trace.	ds4_tp.c:911
runtime/tp	DS4_TP_KEEPALIVE_ITERS	atoi unsigned iteration count; default 1200000	Tune work per Metal TP keep-alive dispatch.	ds4_metal.m:10626
runtime/tp	DS4_TP_KEEPALIVE_TGS	integer 1..2048; invalid/out of range uses 1	Tune threadgroups per Metal TP keep-alive dispatch.	ds4_metal.m:10612
runtime/tp	DS4_TP_NO_KEEPALIVE	presence flag; unset starts Metal TP keep-alive	Disable the Metal TP GPU keep-alive worker.	ds4_metal.m:10798
runtime/tp	DS4_TP_PREFILL_SPLIT_MIN	atoi token threshold; default 32; values below 2 clamp to 2	Set when TP prefill row-splits the replicated shared expert.	ds4.c:29207
runtime/tp	DS4_TP_SUBGATE_PIPELINE	nonempty integer; nonzero enables; default off; must match on both ranks	Enable TP prefill sub-chunk gate pipelining.	ds4.c:29221
runtime/tp	DS4_TP_TIMEOUT_SEC	atoi seconds stored unsigned; default DS4_TP_DEFAULT_TIMEOUT_SEC	Override TP control/data socket operation timeout.	ds4_tp.c:1329
runtime/web	DS4_CHROME	executable path; unset auto-detects Chrome/Chromium via standard paths and PATH	Select the browser executable used by web tooling.	ds4_web.c:1014
script/downloader	DS4_GGUF_DIR	path; default repository gguf/ directory	Choose the model download directory.	download_model.sh:23
